"school","division","association","conference","city","state","head_coach","coach_email","data_source","athletic_website","official_website","ncsa_url","tuition","enrollment","size_category","religious_affiliation","has_email","has_coach","needs_verification"
"Adams State University",2,"NCAA","Rocky Mountain Athletic Conference","Alamosa","Colorado","Jerome Austin","","NCSA","","https://www.adams.edu/","https://www.ncsasports.org/mens-lacrosse/colleges/adams-state-university",21847,1310,"Small","None","NO","YES","YES"
"Adelphi University",2,"NCAA","Northeast-10 Conference","Garden City","New York","Gordon Purdie","","NCSA","","https://www.adelphi.edu/","https://www.ncsasports.org/mens-lacrosse/colleges/adelphi-university",50110,5141,"Medium","None","NO","YES","YES"
"Adrian College",3,"NCAA","Michigan Intercollegiate Athletic Association","Adrian","Michigan","Brett Wetzel","","NCSA","","https://adrian.edu/","https://www.ncsasports.org/mens-lacrosse/colleges/adrian-college",40556,1621,"Small","Methodist","NO","YES","YES"
"Albertus Magnus College",3,"NCAA","Division III Independents","New Haven","Connecticut","Chris Bronander","","NCSA","","https://www.albertus.edu/","https://www.ncsasports.org/mens-lacrosse/colleges/albertus-magnus-college",43118,684,"Small","Catholic","NO","YES","YES"
"Albion College",3,"NCAA","Michigan Intercollegiate Athletic Association","Albion","Michigan","Jacob DeCola","","NCSA","","https://www.albion.edu/","https://www.ncsasports.org/mens-lacrosse/colleges/albion-college",57880,1295,"Small","Methodist","NO","YES","YES"
"Albright College",3,"NCAA","Middle Atlantic Conferences","Reading","Pennsylvania","Derek Stump","","NCSA","","https://www.albright.edu/home/","https://www.ncsasports.org/mens-lacrosse/colleges/albright-college",30900,1222,"Small","Methodist","NO","YES","YES"
"Alfred University",3,"NCAA","Empire 8 Athletic Conference","Alfred","New York","Jason Lockner","","NCSA","","https://www.alfred.edu/","https://www.ncsasports.org/mens-lacrosse/colleges/alfred-university",39530,1381,"Small","None","NO","YES","YES"
"Allegheny College",3,"NCAA","North Coast Athletic Conference","Meadville","Pennsylvania","Jeff Roberts","","NCSA","","https://allegheny.edu/","https://www.ncsasports.org/mens-lacrosse/colleges/allegheny-college",55860,1153,"Small","None","NO","YES","YES"
"Alma College",3,"NCAA","Michigan Intercollegiate Athletic Association","Alma","Michigan","Zach Cameron","","NCSA","","https://alma.edu/","https://www.ncsasports.org/mens-lacrosse/colleges/alma-college",47430,1197,"Small","Presbyterian","NO","YES","YES"
"Alvernia University",3,"NCAA","Middle Atlantic Conferences","Reading","Pennsylvania","Luke Franklin","","NCSA","","https://www.alvernia.edu/","https://www.ncsasports.org/mens-lacrosse/colleges/alvernia-university",44850,1735,"Small","Catholic","NO","YES","YES"
"American International College",2,"NCAA","Northeast-10 Conference","Springfield","Massachusetts","","","","","https://www.aic.edu/","https://www.ncsasports.org/mens-lacrosse/colleges/american-international-college",42970,1066,"Small","None","NO","NO","NO"
"Amherst College",3,"NCAA","New England Small College Athletic Conference","Amherst","Massachusetts","Sean Woods","","NCSA","","https://www.amherst.edu/","https://www.ncsasports.org/mens-lacrosse/colleges/amherst-college",67280,1910,"Small","None","NO","YES","YES"
"Anderson University – Indiana",3,"NCAA","Heartland Collegiate Athletic Conference","Anderson","Indiana","","","","","https://anderson.edu/","https://www.ncsasports.org/mens-lacrosse/colleges/anderson-university-indiana",35640,1017,"Small","Pentecostal","NO","NO","NO"
"Anderson University – South Carolina",2,"NCAA","South Atlantic Conference","Anderson","South Carolina","Matt Ledon","","NCSA","","https://andersonuniversity.edu/","https://www.ncsasports.org/mens-lacrosse/colleges/anderson-university-south-carolina",36360,2841,"Medium","Baptist","NO","YES","YES"
"Anna Maria College",3,"NCAA","Eastern Collegiate Football Conference","Paxton","Massachusetts","Nate Mayo","","NCSA","","https://www.annamaria.edu/","https://www.ncsasports.org/mens-lacrosse/colleges/anna-maria-college",43064,832,"Small","Catholic","NO","YES","YES"
"Anne Arundel Community College","","JC","MD JUCO","Arnold","Maryland","Mike Rice","","NCSA","","https://www.aacc.edu/","https://www.ncsasports.org/mens-lacrosse/colleges/anne-arundel-community-college",15192,2929,"Medium","None","NO","YES","YES"
"Aquinas College – Michigan","","NAIA","Wolverine-Hoosier Athletic Conference","Grand Rapids","Michigan","Peter Treppa","","NCSA","","https://www.aquinas.edu/","https://www.ncsasports.org/mens-lacrosse/colleges/aquinas-college-michigan",41192,969,"Small","Catholic","NO","YES","YES"
"Arcadia University",3,"NCAA","Middle Atlantic Conferences","Glenside","Pennsylvania","Will Pilat","","NCSA","","https://www.arcadia.edu/","https://www.ncsasports.org/mens-lacrosse/colleges/arcadia-university",48760,2030,"Medium","Presbyterian","NO","YES","YES"
"Assumption University",2,"NCAA","Northeast-10 Conference","Worcester","Massachusetts","Guy Bourdon","","NCSA","","https://www.assumption.edu/","https://www.ncsasports.org/mens-lacrosse/colleges/assumption-university",52490,1669,"Small","Catholic","NO","YES","YES"
"Augustana College – Illinois",3,"NCAA","College Conference of Illinois and Wisconsin","Rock Island","Illinois","Darry Thornton","","NCSA","","https://www.augustana.edu/","https://www.ncsasports.org/mens-lacrosse/colleges/augustana-college-illinois",53186,2501,"Medium","Lutheran","NO","YES","YES"
"Aurora University",3,"NCAA","Northern Athletics Collegiate Conference","Aurora","Illinois","Reid Mayberry","","NCSA","","https://aurora.edu/","https://www.ncsasports.org/mens-lacrosse/colleges/aurora-university",28220,3704,"Medium","None","NO","YES","YES"
"Averett University",3,"NCAA","USA South Athletic Conference","Danville","Virginia","Bryan Habick","","NCSA","","https://www.averett.edu/","https://www.ncsasports.org/mens-lacrosse/colleges/averett-university",38550,1055,"Small","Baptist","NO","YES","YES"
"Babson College",3,"NCAA","New England Women's & Men's Athletic Conference","Wellesley","Massachusetts","Rocky Batty","","NCSA","","https://www.babson.edu/","https://www.ncsasports.org/mens-lacrosse/colleges/babson-college",56032,2720,"Medium","None","NO","YES","YES"
"Baldwin Wallace University",3,"NCAA","Ohio Athletic Conference","Berea","Ohio","Tony Tatro","","NCSA","","https://www.bw.edu/","https://www.ncsasports.org/mens-lacrosse/colleges/baldwin-wallace-university",38832,2707,"Medium","None","NO","YES","YES"
"Barton College",2,"NCAA","Conference Carolinas","Wilson","North Carolina","Warren Shumate","","NCSA","","https://www.barton.edu/","https://www.ncsasports.org/mens-lacrosse/colleges/barton-college",35600,978,"Small","Calvinist/Reformed","NO","YES","YES"
"Bates College",3,"NCAA","New England Small College Athletic Conference","Lewiston","Maine","Dan Annino","","NCSA","","https://www.bates.edu/","https://www.ncsasports.org/mens-lacrosse/colleges/bates-college",66590,1753,"Small","None","NO","YES","YES"
"Bellarmine University",1,"NCAA","ASUN Conference","Louisville","Kentucky","","","","","https://www.bellarmine.edu/","https://www.ncsasports.org/mens-lacrosse/colleges/bellarmine-university",48180,2218,"Medium","Catholic","NO","NO","NO"
