"school","official_website","city","state","association","division","conference","head_coach","tuition","size_category","enrollment","religious_affiliation"
"Adams State University","https://www.adams.edu/","Alamosa","Colorado","NCAA",2,"Rocky Mountain Athletic Conference","Jerome Austin",21847,"Small",1310,"None"
"Adelphi University","https://www.adelphi.edu/","Garden City","New York","NCAA",2,"Northeast-10 Conference","Gordon Purdie",50110,"Medium",5141,"None"
"Adrian College","https://adrian.edu/","Adrian","Michigan","NCAA",3,"Michigan Intercollegiate Athletic Association","Brett Wetzel",40556,"Small",1621,"Methodist"
"Albertus Magnus College","https://www.albertus.edu/","New Haven","Connecticut","NCAA",3,"Division III Independents","Chris Bronander",43118,"Small",684,"Catholic"
"Albion College","https://www.albion.edu/","Albion","Michigan","NCAA",3,"Michigan Intercollegiate Athletic Association","Jacob DeCola",57880,"Small",1295,"Methodist"
"Albright College","https://www.albright.edu/home/","Reading","Pennsylvania","NCAA",3,"Middle Atlantic Conferences","Derek Stump",30900,"Small",1222,"Methodist"
"Alfred University","https://www.alfred.edu/","Alfred","New York","NCAA",3,"Empire 8 Athletic Conference","Jason Lockner",39530,"Small",1381,"None"
"Allegheny College","https://allegheny.edu/","Meadville","Pennsylvania","NCAA",3,"North Coast Athletic Conference","Jeff Roberts",55860,"Small",1153,"None"
"Alma College","https://alma.edu/","Alma","Michigan","NCAA",3,"Michigan Intercollegiate Athletic Association","Zach Cameron",47430,"Small",1197,"Presbyterian"
"Alvernia University","https://www.alvernia.edu/","Reading","Pennsylvania","NCAA",3,"Middle Atlantic Conferences","Luke Franklin",44850,"Small",1735,"Catholic"
"American International College","https://www.aic.edu/","Springfield","Massachusetts","NCAA",2,"Northeast-10 Conference","",42970,"Small",1066,"None"
"Amherst College","https://www.amherst.edu/","Amherst","Massachusetts","NCAA",3,"New England Small College Athletic Conference","Sean Woods",67280,"Small",1910,"None"
"Anderson University – Indiana","https://anderson.edu/","Anderson","Indiana","NCAA",3,"Heartland Collegiate Athletic Conference","",35640,"Small",1017,"Pentecostal"
"Anderson University – South Carolina","https://andersonuniversity.edu/","Anderson","South Carolina","NCAA",2,"South Atlantic Conference","Matt Ledon",36360,"Medium",2841,"Baptist"
"Anna Maria College","https://www.annamaria.edu/","Paxton","Massachusetts","NCAA",3,"Eastern Collegiate Football Conference","Nate Mayo",43064,"Small",832,"Catholic"
"Anne Arundel Community College","https://www.aacc.edu/","Arnold","Maryland","JC","","MD JUCO","Mike Rice",15192,"Medium",2929,"None"
"Aquinas College – Michigan","https://www.aquinas.edu/","Grand Rapids","Michigan","NAIA","","Wolverine-Hoosier Athletic Conference","Peter Treppa",41192,"Small",969,"Catholic"
"Arcadia University","https://www.arcadia.edu/","Glenside","Pennsylvania","NCAA",3,"Middle Atlantic Conferences","Will Pilat",48760,"Medium",2030,"Presbyterian"
"Assumption University","https://www.assumption.edu/","Worcester","Massachusetts","NCAA",2,"Northeast-10 Conference","Guy Bourdon",52490,"Small",1669,"Catholic"
"Augustana College – Illinois","https://www.augustana.edu/","Rock Island","Illinois","NCAA",3,"College Conference of Illinois and Wisconsin","Darry Thornton",53186,"Medium",2501,"Lutheran"
"Aurora University","https://aurora.edu/","Aurora","Illinois","NCAA",3,"Northern Athletics Collegiate Conference","Reid Mayberry",28220,"Medium",3704,"None"
"Averett University","https://www.averett.edu/","Danville","Virginia","NCAA",3,"USA South Athletic Conference","Bryan Habick",38550,"Small",1055,"Baptist"
"Babson College","https://www.babson.edu/","Wellesley","Massachusetts","NCAA",3,"New England Women's & Men's Athletic Conference","Rocky Batty",56032,"Medium",2720,"None"
"Baldwin Wallace University","https://www.bw.edu/","Berea","Ohio","NCAA",3,"Ohio Athletic Conference","Tony Tatro",38832,"Medium",2707,"None"
"Barton College","https://www.barton.edu/","Wilson","North Carolina","NCAA",2,"Conference Carolinas","Warren Shumate",35600,"Small",978,"Calvinist/Reformed"
"Bates College","https://www.bates.edu/","Lewiston","Maine","NCAA",3,"New England Small College Athletic Conference","Dan Annino",66590,"Small",1753,"None"
"Bellarmine University","https://www.bellarmine.edu/","Louisville","Kentucky","NCAA",1,"ASUN Conference","",48180,"Medium",2218,"Catholic"
"Belmont Abbey College","https://belmontabbeycollege.edu/","Belmont","North Carolina","NCAA",2,"Conference Carolinas","Devin Cruz",19500,"Small",1404,"Catholic"
"Beloit College","https://www.beloit.edu/","Beloit","Wisconsin","NCAA",3,"Midwest Conference","Kevin Lerg",60364,"Small",916,"None"
"Benedictine College","https://www.benedictine.edu/","Atchison","Kansas","NAIA","","Heart of America Athletic Conference","Mark Crisco",36750,"Medium",2214,"Catholic"
"Bentley University","https://www.bentley.edu/","Waltham","Massachusetts","NCAA",2,"Northeast-10 Conference","Jim Murphy",58150,"Medium",4303,"None"
"Berry College","https://www.berry.edu/","Mount Berry","Georgia","NCAA",3,"Southern Athletic Association","Curtis Gilbert",40416,"Medium",2197,"None"
"Bethany College – West Virginia","https://www.bethanywv.edu/","Bethany","West Virginia","NCAA",3,"Presidents' Athletic Conference","Harold Pallone III",39814,"Small",639,"Calvinist/Reformed"
"Boston University","https://www.bu.edu/","Boston","Massachusetts","NCAA",1,"Patriot League","Ryan Polley",69870,"Large",17899,"None"
"Bowdoin College","https://www.bowdoin.edu/","Brunswick","Maine","NCAA",3,"New England Small College Athletic Conference","Bill Mason",71070,"Small",1873,"None"
"Brevard College","https://brevard.edu/","Brevard","North Carolina","NCAA",3,"South Atlantic Conference","Austin Hurley",31250,"Small",748,"Methodist"
"Bridgewater College","https://www.bridgewater.edu/","Bridgewater","Virginia","NCAA",3,"Old Dominion Athletic Conference","Mic Grant",15000,"Small",1385,"Anabaptist"
"Brookdale Community College","https://www.brookdalecc.edu/","Lincroft","New Jersey","JC","","Garden State Athletic Conference","",9806,"Medium",4029,"None"
"Brown University","https://www.brown.edu/","Providence","Rhode Island","NCAA",1,"Ivy League","Jon Torpey",68230,"Medium",7220,"None"
"Bryant University","https://www.bryant.edu/","Smithfield","Rhode Island","NCAA",1,"American East Conference","Brad Ross",51780,"Medium",3216,"None"
"Bucknell University","https://www.bucknell.edu/","Lewisburg","Pennsylvania","NCAA",1,"Patriot League","Frank Fedorjaka",67976,"Medium",3815,"None"
"Cairn University","https://www.cairn.edu/","Langhorne","Pennsylvania","NCAA",3,"Division III Independents","Matt LoStracco",32625,"Small",746,"None"
"Caldwell University","https://www.caldwell.edu/","Caldwell","New Jersey","NCAA",2,"Central Atlantic Collegiate Conference","Dominic Scorcia",39450,"Small",1392,"Catholic"
"Calvin University","https://calvin.edu/","Grand Rapids","Michigan","NCAA",3,"Michigan Intercollegiate Athletic Association","Dave Hoger",40500,"Medium",2739,"Calvinist/Reformed"
"Canisius College","https://www.canisius.edu/","Buffalo","New York","NCAA",1,"Metro Atlantic Athletic Conference","Mark Miyashita",33330,"Small",1731,"Catholic"
"Capital University","https://www.capital.edu/","Columbus","Ohio","NCAA",3,"Ohio Athletic Conference","Adam Stewart",43234,"Small",1678,"Lutheran"
"Carroll University","https://www.carrollu.edu/","Waukesha","Wisconsin","NCAA",3,"College Conference of Illinois and Wisconsin","Gabe Pearlman",37230,"Medium",2454,"Presbyterian"
"Carthage College","https://www.carthage.edu/","Kenosha","Wisconsin","NCAA",3,"College Conference of Illinois and Wisconsin","David Neff",36500,"Medium",2600,"None"
"Castleton University","https://www.vermontstate.edu/","Castleton","Vermont","NCAA",3,"Eastern Collegiate Football Conference","Nathan Snitz",20688,"Small",1461,"None"
"Catawba College","https://www.catawba.edu/","Salisbury","North Carolina","NCAA",2,"South Atlantic Conference","Mike Murphy",34300,"Small",1094,"None"
"Catholic University of America","https://www.catholic.edu/index.html","Washington","District Of Columbia","NCAA",3,"New England Women's & Men's Athletic Conference","Peter Donley",55834,"Medium",2885,"Catholic"
"Centenary College of Louisiana","https://www.centenary.edu/","Shreveport","Louisiana","NCAA",3,"Southern Collegiate Athletic Conference","Billy LeClair",41200,"Small",684,"Methodist"
"Centenary University – New Jersey","https://www.centenaryuniversity.edu/","Hackettstown","New Jersey","NCAA",3,"Colonial States Athletic Conference","Joe Lodato",36636,"Small",901,"Methodist"
"Centre College","https://www.centre.edu/","Danville","Kentucky","NCAA",3,"Southern Athletic Association","Phil Havira",54890,"Small",1395,"None"
"Chatham University","https://www.chatham.edu/","Pittsburgh","Pennsylvania","NCAA",3,"Presidents' Athletic Conference","Joe Conner",42250,"Small",1219,"None"
"Chestnut Hill College","https://www.chc.edu/","Philadelphia","Pennsylvania","NCAA",2,"Central Atlantic Collegiate Conference","Jim DeCarlo",39410,"Small",796,"Catholic"
"Chowan University","https://www.chowan.edu/","Murfreesboro","North Carolina","NCAA",2,"Conference Carolinas","P.R. Simshauser",27910,"Small",809,"Baptist"
"Christopher Newport University","https://cnu.edu/","Newport News","Virginia","NCAA",3,"Capital Athletic Conference","Mikey Thompson",31178,"Medium",4321,"None"
"Clark University","https://www.clarku.edu/","Worcester","Massachusetts","NCAA",3,"New England Women's & Men's Athletic Conference","Matt Colombini",59680,"Medium",2322,"None"
"Clarke University","https://www.clarke.edu/","Dubuque","Iowa","NAIA","","Heart of America Athletic Conference","Tucker La Belle",41000,"Small",725,"Catholic"
